Death Valley, California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199812,53.3
199901,57.5
199902,62.4
199903,69.6
199904,71.2
199905,86.6
199906,94.9
199907,101.3
199908,99.0
199909,92.5
199910,81.1
199911,66.2
199912,55.3
200001,58.1
200002,62.9
200003,69.6
200004,80.5
200005,90.8
200006,99.6
200007,102.5
200008,101.2
200009,91.6
200010,77.1
200011,58.7
200012,56.0
200101,53.5
200102,58.2
200103,71.3
200104,73.6
200105,94.7
200106,98.7
200107,101.0
200108,103.7
200109,94.4
200110,81.9
200111,65.9
200112,52.2
200201,53.5
200202,61.8
200203,66.3
200204,78.7
200205,87.5
200206,98.8
200207,106.6
200208,101.2
200209,92.9
200210,76.9
200211,64.5
200212,53.3
200301,62.0
200302,60.5
200303,69.9
200304,71.0
200305,87.8
200306,98.6
200307,107.2
200308,101.1
200309,95.5
200310,84.1
200311,59.6
200312,53.5
200401,55.0
200402,58.2
200403,75.4
200404,79.4
200405,88.6
200406,98.2
200407,104.2
200408,100.2
200409,90.1
200410,76.0
200411,61.6
200412,54.2
200501,56.7
200502,61.1
200503,68.4
200504,74.5
200505,88.2
200506,94.2
200507,106.8
200508,101.2
200509,88.0
200510,77.9
200511,65.1
200512,52.4
200601,55.8
200602,62.0
200603,64.5
200604,75.2
200605,91.0
200606,100.3
200607,107.1
200608,100.1
200609,90.6
200610,75.9
200611,64.4
200612,51.6
200701,53.0
200702,62.0
200703,73.6
200704,79.4
200705,90.4
200706,98.5
200707,106.1
200708,103.1
200709,91.1
200710,76.9
200711,66.8
200712,50.7
200801,53.9
200802,60.0
200803,69.8
200804,77.7
200805,85.8
200806,97.8
200807,105.2
200808,104.3
200809,93.7
200810,77.9
200811,67.2
200812,53.0
200901,57.5
200902,59.1
200903,68.3
200904,75.9
200905,93.9
200906,93.7
200907,106.6
200908,100.4
200909,95.2
200910,75.6
200911,64.5
200912,50.8
201001,54.3
201002,60.2
201003,67.6
201004,73.3
201005,81.9
201006,97.7
201007,105.7
201008,100.3
201009,91.3
201010,79.2
201011,62.9
201012,54.5
201101,52.2
201102,58.3
201103,68.1
201104,76.5
201105,82.2
201106,95.4
201107,101.4
201108,101.6
201109,94.2
201110,79.3
201111,60.2
201112,52.8
201201,54.3
201202,62.7
201203,67.8
201204,78.7
201205,90.4
201206,98.7
201207,102.7
201208,104.2
201209,96.0
201210,79.5
201211,65.0
201212,56.8
201301,53.4
201302,61.2
201303,73.1
201304,81.1
201305,88.6
201306,101.1
201307,105.5
201308,101.3
201309,93.7
201310,75.3
201311,63.5
201312,52.9
201401,58.2
201402,64.4
201403,72.7
201404,81.3
201405,88.7
201406,98.9
201407,104.9
201408,99.3
201409,94.9
201410,82.4
201411,64.9
201412,57.5
201501,58.0
201502,68.1
201503,75.6
201504,79.0
201505,85.9
201506,101.0
201507,99.9
201508,103.1
201509,94.1
201510,80.1
201511,60.9
201512,50.6
201601,53.2
201602,65.1
201603,72.1
201604,80.1
201605,86.8
