STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
OSM,M,2,RAIN,2013-10-01 00:00,2013-10-01 00:00,0.49,,INCHES
OSM,M,2,RAIN,2013-11-01 00:00,2013-11-01 00:00,1.10,,INCHES
OSM,M,2,RAIN,2013-12-01 00:00,2013-12-01 00:00,0.23,,INCHES
OSM,M,2,RAIN,2014-01-01 00:00,2014-01-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-02-01 00:00,2014-02-01 00:00,1.46,,INCHES
OSM,M,2,RAIN,2014-03-01 00:00,2014-03-01 00:00,0.51,,INCHES
OSM,M,2,RAIN,2014-04-01 00:00,2014-04-01 00:00,0.22,,INCHES
OSM,M,2,RAIN,2014-05-01 00:00,2014-05-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-06-01 00:00,2014-06-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-07-01 00:00,2014-07-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-08-01 00:00,2014-08-01 00:00,0.09,,INCHES
OSM,M,2,RAIN,2014-09-01 00:00,2014-09-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-10-01 00:00,2014-10-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2014-11-01 00:00,2014-11-01 00:00,0.80,,INCHES
OSM,M,2,RAIN,2014-12-01 00:00,2014-12-01 00:00,3.90,,INCHES
OSM,M,2,RAIN,2015-01-01 00:00,2015-01-01 00:00,0.40,,INCHES
OSM,M,2,RAIN,2015-02-01 00:00,2015-02-01 00:00,0.24,,INCHES
OSM,M,2,RAIN,2015-03-01 00:00,2015-03-01 00:00,0.71,,INCHES
OSM,M,2,RAIN,2015-04-01 00:00,2015-04-01 00:00,0.01,,INCHES
OSM,M,2,RAIN,2015-05-01 00:00,2015-05-01 00:00,1.38,,INCHES
OSM,M,2,RAIN,2015-06-01 00:00,2015-06-01 00:00,0.04,,INCHES
OSM,M,2,RAIN,2015-07-01 00:00,2015-07-01 00:00,0.87,,INCHES
OSM,M,2,RAIN,2015-08-01 00:00,2015-08-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2015-09-01 00:00,2015-09-01 00:00,1.10,,INCHES
OSM,M,2,RAIN,2015-10-01 00:00,2015-10-01 00:00,0.32,,INCHES
OSM,M,2,RAIN,2015-11-01 00:00,2015-11-01 00:00,0.35,,INCHES
OSM,M,2,RAIN,2015-12-01 00:00,2015-12-01 00:00,0.47,,INCHES
OSM,M,2,RAIN,2016-01-01 00:00,2016-01-01 00:00,1.99,,INCHES
OSM,M,2,RAIN,2016-02-01 00:00,2016-02-01 00:00,0.13,,INCHES
OSM,M,2,RAIN,2016-03-01 00:00,2016-03-01 00:00,0.97,,INCHES
OSM,M,2,RAIN,2016-04-01 00:00,2016-04-01 00:00,0.22,,INCHES
OSM,M,2,RAIN,2016-05-01 00:00,2016-05-01 00:00,,,INCHES
OSM,M,2,RAIN,2016-06-01 00:00,2016-06-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2016-07-01 00:00,2016-07-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2016-08-01 00:00,2016-08-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2016-09-01 00:00,2016-09-01 00:00,0.20,,INCHES
OSM,M,2,RAIN,2016-10-01 00:00,2016-10-01 00:00,0.33,,INCHES
OSM,M,2,RAIN,2016-11-01 00:00,2016-11-01 00:00,0.96,,INCHES
OSM,M,2,RAIN,2016-12-01 00:00,2016-12-01 00:00,3.14,,INCHES
OSM,M,2,RAIN,2017-01-01 00:00,2017-01-01 00:00,6.72,,INCHES
OSM,M,2,RAIN,2017-02-01 00:00,2017-02-01 00:00,3.07,,INCHES
OSM,M,2,RAIN,2017-03-01 00:00,2017-03-01 00:00,0.13,,INCHES
OSM,M,2,RAIN,2017-04-01 00:00,2017-04-01 00:00,0.11,,INCHES
OSM,M,2,RAIN,2017-05-01 00:00,2017-05-01 00:00,1.31,,INCHES
OSM,M,2,RAIN,2017-06-01 00:00,2017-06-01 00:00,0.01,,INCHES
OSM,M,2,RAIN,2017-07-01 00:00,2017-07-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2017-08-01 00:00,2017-08-01 00:00,0.02,,INCHES
OSM,M,2,RAIN,2017-09-01 00:00,2017-09-01 00:00,0.01,,INCHES
OSM,M,2,RAIN,2017-10-01 00:00,2017-10-01 00:00,0.03,,INCHES
OSM,M,2,RAIN,2017-11-01 00:00,2017-11-01 00:00,0.24,,INCHES
OSM,M,2,RAIN,2017-12-01 00:00,2017-12-01 00:00,0.03,,INCHES
OSM,M,2,RAIN,2018-01-01 00:00,2018-01-01 00:00,2.94,,INCHES
OSM,M,2,RAIN,2018-02-01 00:00,2018-02-01 00:00,0.30,,INCHES
OSM,M,2,RAIN,2018-03-01 00:00,2018-03-01 00:00,1.83,,INCHES
OSM,M,2,RAIN,2018-04-01 00:00,2018-04-01 00:00,0.08,,INCHES
OSM,M,2,RAIN,2018-05-01 00:00,2018-05-01 00:00,0.17,,INCHES
OSM,M,2,RAIN,2018-06-01 00:00,2018-06-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2018-07-01 00:00,2018-07-01 00:00,0.06,,INCHES
OSM,M,2,RAIN,2018-08-01 00:00,2018-08-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2018-09-01 00:00,2018-09-01 00:00,0.00,,INCHES
OSM,M,2,RAIN,2018-10-01 00:00,2018-10-01 00:00,0.78,,INCHES
OSM,M,2,RAIN,2018-11-01 00:00,2018-11-01 00:00,0.74,,INCHES
OSM,M,2,RAIN,2018-12-01 00:00,2018-12-01 00:00,2.47,,INCHES
OSM,M,2,RAIN,2019-01-01 00:00,2019-01-01 00:00,2.85,,INCHES
OSM,M,2,RAIN,2019-02-01 00:00,2019-02-01 00:00,5.13,,INCHES
OSM,M,2,RAIN,2019-03-01 00:00,2019-03-01 00:00,1.17,,INCHES
OSM,M,2,RAIN,2019-04-01 00:00,2019-04-01 00:00,0.45,,INCHES
OSM,M,2,RAIN,2019-05-01 00:00,2019-05-01 00:00,0.57,,INCHES
OSM,M,2,RAIN,2019-06-01 00:00,2019-06-01 00:00,0.16,,INCHES
OSM,M,2,RAIN,2019-07-01 00:00,2019-07-01 00:00,0.03,,INCHES
